Gage_ID,Gage_Name,Terminal_Catchment_ID,Upstream_Catchment_ID
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710410805
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710410814
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710664766
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710664769
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710410817
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710664779
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710345302
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710345307
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710918747
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710345318
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710345333
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710345341
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710599294
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710599298
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710599312
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710279824
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710345360
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710853283
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710279845
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710279852
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710279857
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710533811
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710533812
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710533821
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710533823
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710533835
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710533841
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710468332
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710787821
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710468335
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710468336
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710468339
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710468342
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710468343
10126000,BEAR RIVER NEAR CORINNE - UT,710640970.0,710468356
